run,family,mean_llm_weight_rank,mean_true_acc_rank,mean_centrality_rank,misrank,p
Qwen3-14B|cot_only|s0,MSA_Potts,3.1527777777777777,6.726851851851852,7.319444444444445,-3.5740740740740744,7.244876025959387e-28
Qwen3-14B|cot_only|s0,Evo_Conservation,7.576388888888889,4.361111111111111,5.263888888888889,3.2152777777777786,5.581861518513286e-29
Qwen3-14B|cot_only|s0,MSA_Conditioned,3.5625,4.574074074074074,1.6481481481481481,-1.0115740740740744,8.837349204040218e-08
Qwen3-14B|cot_only|s0,ESM_Masked,3.814814814814815,5.347222222222222,3.4814814814814814,-1.5324074074074074,1.8554782817382382e-09
Qwen3-14B|cot_only|s0,AR_PLM,5.451388888888889,7.537037037037037,7.356481481481482,-2.085648148148148,2.0305071740949932e-16
Qwen3-14B|cot_only|s0,xTrimoPGLM,5.175925925925926,7.416666666666667,7.171296296296297,-2.2407407407407414,3.393049046669492e-21
Qwen3-14B|cot_only|s0,Inverse_Folding,7.013888888888889,6.537037037037037,9.50462962962963,0.4768518518518521,0.06280749769768981
Qwen3-14B|cot_only|s0,Struct_PLM,5.256944444444445,3.111111111111111,4.6157407407407405,2.1458333333333335,1.57215355174379e-18
Qwen3-14B|cot_only|s0,Struct_MSA_Hybrid,4.0625,2.4814814814814814,3.3194444444444446,1.5810185185185186,6.839065352235144e-16
Qwen3-14B|cot_only|s0,CNN_RNN,9.93287037037037,6.907407407407407,5.319444444444445,3.025462962962963,2.8156792244642824e-34
Qwen3-14B|direct_only|s0,MSA_Potts,2.2106481481481484,6.726851851851852,7.319444444444445,-4.516203703703704,4.5534560727046966e-33
Qwen3-14B|direct_only|s0,Evo_Conservation,7.935185185185185,4.361111111111111,5.263888888888889,3.5740740740740744,2.5176466265690215e-35
Qwen3-14B|direct_only|s0,MSA_Conditioned,2.611111111111111,4.574074074074074,1.6481481481481481,-1.9629629629629632,9.920131890238457e-25
Qwen3-14B|direct_only|s0,ESM_Masked,3.361111111111111,5.347222222222222,3.4814814814814814,-1.9861111111111112,7.814325597865561e-14
Qwen3-14B|direct_only|s0,AR_PLM,5.9467592592592595,7.537037037037037,7.356481481481482,-1.5902777777777777,1.995333677073278e-15
Qwen3-14B|direct_only|s0,xTrimoPGLM,4.143518518518518,7.416666666666667,7.171296296296297,-3.273148148148149,1.267545731231958e-32
Qwen3-14B|direct_only|s0,Inverse_Folding,8.831018518518519,6.537037037037037,9.50462962962963,2.293981481481482,1.3812956836520374e-15
Qwen3-14B|direct_only|s0,Struct_PLM,6.474537037037037,3.111111111111111,4.6157407407407405,3.363425925925926,7.083576066834358e-31
Qwen3-14B|direct_only|s0,Struct_MSA_Hybrid,3.4953703703703702,2.4814814814814814,3.3194444444444446,1.0138888888888888,2.9716829513134826e-12
Qwen3-14B|direct_only|s0,CNN_RNN,9.99074074074074,6.907407407407407,5.319444444444445,3.083333333333333,8.836314726394574e-34
Qwen3-8B|conflict_cot|s0,MSA_Potts,3.6597222222222223,6.726851851851852,7.319444444444445,-3.0671296296296298,4.1415323265872405e-26
Qwen3-8B|conflict_cot|s0,Evo_Conservation,3.696759259259259,4.361111111111111,5.263888888888889,-0.6643518518518516,0.0006129018275282174
Qwen3-8B|conflict_cot|s0,MSA_Conditioned,2.928240740740741,4.574074074074074,1.6481481481481481,-1.6458333333333335,3.222887548704325e-19
Qwen3-8B|conflict_cot|s0,ESM_Masked,5.273148148148148,5.347222222222222,3.4814814814814814,-0.0740740740740744,0.8763590815349638
Qwen3-8B|conflict_cot|s0,AR_PLM,7.773148148148148,7.537037037037037,7.356481481481482,0.23611111111111072,0.361788543922958
Qwen3-8B|conflict_cot|s0,xTrimoPGLM,7.159722222222222,7.416666666666667,7.171296296296297,-0.25694444444444464,0.025691457046258973
Qwen3-8B|conflict_cot|s0,Inverse_Folding,8.988425925925926,6.537037037037037,9.50462962962963,2.4513888888888884,3.200400951550157e-19
Qwen3-8B|conflict_cot|s0,Struct_PLM,4.0,3.111111111111111,4.6157407407407405,0.8888888888888888,4.088120082683779e-06
Qwen3-8B|conflict_cot|s0,Struct_MSA_Hybrid,3.5555555555555554,2.4814814814814814,3.3194444444444446,1.074074074074074,1.4033035897109571e-11
Qwen3-8B|conflict_cot|s0,CNN_RNN,7.965277777777778,6.907407407407407,5.319444444444445,1.0578703703703702,6.428608390040535e-11
Qwen3-8B|cot_only|s0,MSA_Potts,3.388888888888889,6.726851851851852,7.319444444444445,-3.3379629629629632,2.3371119151412856e-21
Qwen3-8B|cot_only|s0,Evo_Conservation,3.824074074074074,4.361111111111111,5.263888888888889,-0.5370370370370368,0.004402548501673341
Qwen3-8B|cot_only|s0,MSA_Conditioned,4.30787037037037,4.574074074074074,1.6481481481481481,-0.26620370370370416,0.11371472192685202
Qwen3-8B|cot_only|s0,ESM_Masked,4.143518518518518,5.347222222222222,3.4814814814814814,-1.2037037037037042,2.308499758435597e-05
Qwen3-8B|cot_only|s0,AR_PLM,5.099537037037037,7.537037037037037,7.356481481481482,-2.4375,1.1744452986843922e-21
Qwen3-8B|cot_only|s0,xTrimoPGLM,5.548611111111111,7.416666666666667,7.171296296296297,-1.8680555555555562,8.878640677665942e-14
Qwen3-8B|cot_only|s0,Inverse_Folding,7.555555555555555,6.537037037037037,9.50462962962963,1.0185185185185182,0.0007758544830213505
Qwen3-8B|cot_only|s0,Struct_PLM,6.6342592592592595,3.111111111111111,4.6157407407407405,3.5231481481481484,5.153239751732959e-26
Qwen3-8B|cot_only|s0,Struct_MSA_Hybrid,4.564814814814815,2.4814814814814814,3.3194444444444446,2.0833333333333335,2.1360850844760736e-23
